Year,remittance_usd,pct_gdp
1993,54825104,1.498
1994,50118519,1.232
1995,56822667,1.291
1996,44160126,0.977
1997,49458058,1.006
1998,67504903,1.39
1999,83462780,1.658
2000,111498192,2.029
2001,146985152,2.447
2002,678485892,11.213
2003,771072127,12.18
2004,822608955,11.309
2005,1211823253,14.905
2006,1453231426,16.069
2007,1733858518,16.792
2008,2727140487,21.738
2009,2983336877,23.208
2010,3464092682,21.647
2011,4216894010,19.546
2012,4792506200,22.082
2013,5583702128,25.195
2014,5888650155,25.905
2015,6729935671,27.626
2016,6611838544,26.961
2017,6928133767,23.914
2018,8286629516,25.026
2019,8244465869,24.116
2020,8107744662,24.25
2021,8225960575,22.278
2022,9411659366,22.853
2023,10764412528,26.224
2024,11254463372,26.225
